reference,mapping,downsample_frac,n_features,kappa,uns_rate,Method
muraro,segerstolpe,20%,1000-2000,0.89340038602518,22.1367134449977,scmap
muraro,segerstolpe,20%,1000-2000,0.89800595192311,24.3549117247623,scmap
muraro,segerstolpe,20%,1000-2000,0.895983374708529,22.9968311453146,scmap
muraro,segerstolpe,20%,1000-2000,0.92675490368192,23.1779085559076,scmap
muraro,segerstolpe,20%,1000-2000,0.918445287761959,23.6306020823902,scmap
muraro,segerstolpe,20%,1000-2000,0.902861468164408,24.1285649615211,scmap
muraro,segerstolpe,20%,1000-2000,0.871349437870792,23.0421004979629,scmap
muraro,segerstolpe,20%,1000-2000,0.892952457104528,22.4988682661838,scmap
muraro,segerstolpe,20%,1000-2000,0.908490652193115,24.5359891353554,scmap
muraro,segerstolpe,20%,1000-2000,0.921321199081208,22.0461747397012,scmap
muraro,segerstolpe,20%,1000-2000,0.915596149989162,25.3055681303757,scmap
muraro,segerstolpe,20%,1000-2000,0.90550712833427,25.0792213671345,scmap
muraro,segerstolpe,20%,1000-2000,0.901231279482399,22.5894069714803,scmap
muraro,segerstolpe,20%,1000-2000,0.91146254010947,24.5359891353554,scmap
muraro,segerstolpe,20%,1000-2000,0.870663388899855,20.416478044364,scmap
muraro,segerstolpe,20%,1000-2000,0.881883576019059,23.0421004979629,scmap
muraro,segerstolpe,20%,1000-2000,0.906912599791341,22.7252150294251,scmap
muraro,segerstolpe,20%,1000-2000,0.905965216725575,25.531914893617,scmap
muraro,segerstolpe,20%,1000-2000,0.897691643780408,22.000905387053,scmap
muraro,segerstolpe,20%,1000-2000,0.907848344177806,22.0461747397012,scmap
muraro,segerstolpe,20%,1000-2000,0.898882516323649,25.3055681303757,scmap
muraro,segerstolpe,20%,1000-2000,0.883877687783152,21.7745586238117,scmap
muraro,segerstolpe,20%,1000-2000,0.905778895102251,24.7170665459484,scmap
muraro,segerstolpe,20%,1000-2000,0.920762375452546,24.7623358985966,scmap
muraro,segerstolpe,20%,1000-2000,0.916118776207741,25.3961068356722,scmap
muraro,segerstolpe,20%,1000-2000,0.900691190561365,23.766410140335,scmap
muraro,segerstolpe,20%,1000-2000,0.884141991093472,21.3671344499774,scmap
