,baron-human,segerstolpe,muraro,xin,pollen,li
human1_lib1.final_cell_0245,alpha,alpha,alpha,unassigned,unassigned,unassigned
human1_lib1.final_cell_0246,delta,delta,delta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0247,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0248,alpha,alpha,alpha,unassigned,unassigned,unassigned
human1_lib1.final_cell_0249,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0250,endothelial,endothelial,endothelial,unassigned,unassigned,unassigned
human1_lib1.final_cell_0251,delta,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0252,delta,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0253,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0254,beta,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0255,delta,delta,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0256,gamma,gamma,gamma,unassigned,unassigned,unassigned
human1_lib1.final_cell_0257,alpha,alpha,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0258,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0259,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0260,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0261,ductal,ductal,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0262,delta,delta,delta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0263,alpha,alpha,alpha,unassigned,unassigned,unassigned
human1_lib1.final_cell_0264,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0265,gamma,gamma,gamma,unassigned,unassigned,unassigned
human1_lib1.final_cell_0266,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0267,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0268,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0269,quiescent_stellate,PSC,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0270,alpha,alpha,alpha,unassigned,unassigned,unassigned
human1_lib1.final_cell_0271,delta,delta,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0272,alpha,alpha,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0273,gamma,gamma,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0274,alpha,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0275,delta,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0276,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0277,gamma,gamma,gamma,unassigned,unassigned,unassigned
human1_lib1.final_cell_0278,ductal,ductal,ductal,unassigned,unassigned,unassigned
human1_lib1.final_cell_0279,alpha,alpha,alpha,unassigned,unassigned,unassigned
human1_lib1.final_cell_0280,alpha,alpha,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0281,delta,delta,delta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0282,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0283,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0284,ductal,ductal,ductal,unassigned,unassigned,unassigned
human1_lib1.final_cell_0285,alpha,alpha,alpha,unassigned,unassigned,unassigned
human1_lib1.final_cell_0286,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0287,delta,delta,delta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0288,macrophage,MHC class II,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0289,endothelial,endothelial,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0290,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0291,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0292,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0293,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0294,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0295,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0296,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0297,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0298,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0299,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0300,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0301,gamma,gamma,gamma,unassigned,unassigned,unassigned
human1_lib1.final_cell_0302,endothelial,endothelial,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0303,beta,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0304,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0305,beta,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0306,delta,delta,delta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0307,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0308,gamma,gamma,gamma,unassigned,unassigned,unassigned
human1_lib1.final_cell_0309,epsilon,epsilon,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0310,delta,delta,delta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0311,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0312,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0313,gamma,gamma,gamma,unassigned,unassigned,unassigned
human1_lib1.final_cell_0314,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0315,unassigned,epsilon,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0316,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0317,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0318,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0319,endothelial,endothelial,endothelial,unassigned,unassigned,unassigned
human1_lib1.final_cell_0320,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0321,delta,delta,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0322,alpha,alpha,alpha,unassigned,unassigned,unassigned
human1_lib1.final_cell_0323,epsilon,epsilon,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0324,alpha,alpha,alpha,unassigned,unassigned,unassigned
human1_lib1.final_cell_0325,quiescent_stellate,PSC,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0326,alpha,alpha,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0327,alpha,alpha,alpha,unassigned,unassigned,unassigned
human1_lib1.final_cell_0328,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0329,beta,beta,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0330,ductal,ductal,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0331,beta,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0332,alpha,alpha,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0333,beta,beta,beta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0334,alpha,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0335,unassigned,beta,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0336,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
human1_lib1.final_cell_0337,delta,delta,delta,unassigned,unassigned,unassigned
human1_lib1.final_cell_0338,delta,delta,unassigned,unassigned,unassigned,unassigned
