reference,projection,downsample_frac,n_features,kappa,uns_rate,Method
muraro,segerstolpe,10%,1000-2000,0.931590399961836,2.62562245359891,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.932108913083448,2.71616115889543,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.931624416560449,2.58035310095066,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.929204302074565,2.48981439565414,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.928583417016188,2.5350837483024,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.931584649484639,2.62562245359891,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.929767723802237,2.58035310095066,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.931594834614604,2.67089180624717,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.930279118598012,2.71616115889543,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.93219605923193,2.62562245359891,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.929724654397518,2.62562245359891,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.932162813794954,2.67089180624717,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.930982049761822,2.62562245359891,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.931501549748991,2.67089180624717,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.932621114808576,2.80669986419194,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.930413333927102,2.58035310095066,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.931423704395849,2.76143051154369,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.932128500572474,2.71616115889543,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.930797864211864,2.76143051154369,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.93141995353541,2.80669986419194,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.932064652950695,2.76143051154369,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.929765498850507,2.62562245359891,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.931452253701393,2.71616115889543,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.931421968047834,2.80669986419194,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.932063065653165,2.76143051154369,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.931573335879442,2.67089180624717,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.930803112406759,2.80669986419194,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.932726309855305,2.76143051154369,scmap-cluster
muraro,segerstolpe,10%,1000-2000,0.931368414199524,2.8519692168402,scmap-cluster
muraro,segerstolpe,10%,ALL,0.834538030864256,80.7152557718425,scmap-cluster
muraro,segerstolpe,10%,ALL,0.835072969391938,80.8963331824355,scmap-cluster
muraro,segerstolpe,10%,ALL,0.831307430024465,81.1226799456768,scmap-cluster
muraro,segerstolpe,10%,ALL,0.834398527044353,81.0321412403803,scmap-cluster
