,baron-human,segerstolpe,muraro,xin,pollen,li
human1_lib1.final_cell_0123,0.84,0.76,0.72,0.59,0.33,0.42
human1_lib1.final_cell_0124,0.86,0.79,0.71,0.58,0.59,0.41
human1_lib1.final_cell_0125,0.86,0.79,0.73,0.56,NA,0.23
human1_lib1.final_cell_0126,0.81,0.75,0.68,0.59,NA,0.39
human1_lib1.final_cell_0127,0.76,0.76,0.71,0.55,0.59,0.3
human1_lib1.final_cell_0128,0.85,0.76,0.68,0.65,0.43,0.29
human1_lib1.final_cell_0129,0.81,0.73,0.7,0.59,NA,0.38
human1_lib1.final_cell_0130,0.83,0.78,0.73,0.59,0.31,0.41
human1_lib1.final_cell_0131,0.83,0.79,0.76,0.67,NA,0.42
human1_lib1.final_cell_0132,0.77,0.76,0.68,0.65,0.62,0.16
human1_lib1.final_cell_0133,0.87,0.8,0.73,0.62,0.36,0.45
human1_lib1.final_cell_0134,0.9,0.65,0.66,0.52,0.34,0.4
human1_lib1.final_cell_0135,0.81,0.79,0.75,0.66,0.59,0.2
human1_lib1.final_cell_0136,0.87,0.78,0.71,0.59,0.39,0.23
human1_lib1.final_cell_0137,0.86,0.8,0.73,0.66,0.35,0.29
human1_lib1.final_cell_0138,0.81,0.8,0.76,0.69,NA,0.44
human1_lib1.final_cell_0139,0.89,0.79,0.74,0.58,0.37,0.42
human1_lib1.final_cell_0140,0.83,0.76,0.72,0.56,NA,0.41
human1_lib1.final_cell_0141,0.69,0.71,0.65,0.58,0.32,0.18
human1_lib1.final_cell_0142,0.84,0.78,0.73,0.59,NA,0.43
human1_lib1.final_cell_0143,0.84,0.75,0.69,0.51,0.53,0.35
human1_lib1.final_cell_0144,0.8,0.75,0.65,0.6,NA,NA
human1_lib1.final_cell_0145,0.87,0.8,0.76,0.59,NA,NA
human1_lib1.final_cell_0146,0.79,0.72,0.74,0.45,0.2,0.34
human1_lib1.final_cell_0147,0.8,0.78,0.71,0.6,0.6,0.19
human1_lib1.final_cell_0148,0.85,0.8,0.77,0.57,0.61,0.33
human1_lib1.final_cell_0149,0.83,0.76,0.73,0.55,0.59,0.48
human1_lib1.final_cell_0150,0.81,0.75,0.67,0.56,NA,NA
