,baron-human,segerstolpe,muraro,xin,pollen,li
human3_lib2.final_cell_0341,0.73,0.71,0.57,0.58,NA,0.48
human3_lib2.final_cell_0342,0.8,0.71,0.6,0.57,0.58,0.15
human3_lib2.final_cell_0343,0.89,0.77,0.73,0.57,0.59,0.44
human3_lib2.final_cell_0344,0.68,0.74,0.53,0.57,0.62,0.48
human3_lib2.final_cell_0345,0.72,0.67,0.61,0.55,0.61,0.5
human3_lib2.final_cell_0346,0.77,NA,0.58,0.59,0.3,0.21
human3_lib2.final_cell_0347,0.88,NA,0.71,0.63,0.61,0.46
human3_lib2.final_cell_0348,0.76,NA,0.55,0.66,NA,0.42
human3_lib2.final_cell_0349,0.78,0.76,0.61,0.6,0.57,0.24
human3_lib2.final_cell_0350,0.78,0.73,0.62,0.62,0.59,0.43
human3_lib2.final_cell_0351,0.84,0.76,0.66,0.63,0.35,NA
human3_lib2.final_cell_0352,0.81,0.77,0.68,0.66,0.38,0.42
human3_lib2.final_cell_0353,0.84,0.8,0.74,0.69,NA,0.39
human3_lib2.final_cell_0354,0.74,0.69,0.57,0.58,0.6,0.43
human3_lib2.final_cell_0355,0.79,0.74,0.65,0.59,NA,0.24
human3_lib2.final_cell_0356,0.71,0.66,0.51,0.61,0.61,0.43
human3_lib2.final_cell_0357,0.82,0.75,0.66,0.64,0.57,0.41
human3_lib2.final_cell_0358,0.81,0.74,0.68,0.51,0.25,0.15
human3_lib2.final_cell_0359,0.93,0.65,0.64,0.5,0.56,0.4
human3_lib2.final_cell_0360,0.83,0.76,0.69,0.59,NA,0.37
human3_lib2.final_cell_0361,0.77,0.74,0.6,0.57,NA,0.43
human3_lib2.final_cell_0362,0.78,0.74,0.61,0.6,NA,0.22
human3_lib2.final_cell_0363,0.81,0.75,0.67,0.68,0.33,0.18
human3_lib2.final_cell_0364,0.82,0.76,0.65,0.66,0.61,0.46
human3_lib2.final_cell_0365,0.84,0.76,0.68,0.67,0.62,0.43
human3_lib2.final_cell_0366,0.84,0.78,0.68,0.58,0.63,0.25
human3_lib2.final_cell_0367,0.84,0.75,0.65,0.58,NA,0.39
human3_lib2.final_cell_0368,0.79,0.81,0.64,0.59,0.65,0.51
human3_lib2.final_cell_0369,0.79,0.76,0.65,0.57,0.31,0.39
human3_lib2.final_cell_0370,0.75,0.72,0.63,0.56,0.61,0.51
human3_lib2.final_cell_0371,0.73,0.69,0.59,0.52,NA,0.25
human3_lib2.final_cell_0372,0.78,0.76,0.66,0.58,0.31,0.27
human3_lib2.final_cell_0373,0.82,0.76,0.72,0.51,0.57,0.41
human3_lib2.final_cell_0374,0.9,0.72,0.67,0.23,0.56,0.45
human3_lib2.final_cell_0375,0.85,0.79,0.72,0.24,0.63,0.32
human3_lib2.final_cell_0376,0.81,0.77,0.67,0.68,0.31,0.16
human3_lib2.final_cell_0377,0.8,0.74,0.66,0.59,0.54,0.19
human3_lib2.final_cell_0378,0.71,0.68,0.58,0.64,0.58,0.29
human3_lib2.final_cell_0379,0.87,0.79,0.74,0.54,0.61,0.51
human3_lib2.final_cell_0380,0.71,0.7,0.59,0.61,0.58,0.46
human3_lib2.final_cell_0381,0.74,0.7,0.59,0.61,0.59,0.4
human3_lib2.final_cell_0382,0.8,0.74,0.62,0.58,0.55,0.29
human3_lib2.final_cell_0383,0.78,0.7,0.63,0.21,0.62,0.26
human3_lib2.final_cell_0384,0.91,0.64,0.61,0.43,0.47,0.33
human3_lib2.final_cell_0385,0.83,0.77,0.69,0.69,0.38,0.43
human3_lib2.final_cell_0386,0.81,0.71,0.68,0.59,0.53,0.35
human3_lib2.final_cell_0387,0.81,0.79,0.74,0.61,0.35,0.29
human3_lib2.final_cell_0388,0.72,NA,0.53,0.59,0.38,0.39
human3_lib2.final_cell_0389,0.7,0.7,0.53,0.61,0.33,0.39
human3_lib2.final_cell_0390,0.71,0.66,0.54,0.61,0.36,0.27
human3_lib2.final_cell_0391,0.86,0.76,0.72,0.57,0.59,0.46
human3_lib2.final_cell_0392,0.83,0.75,0.66,0.6,0.55,0.43
human3_lib2.final_cell_0393,0.76,0.76,0.69,0.65,0.62,0.41
human3_lib2.final_cell_0394,0.67,0.71,0.63,0.2,0.54,NA
human3_lib2.final_cell_0395,0.81,0.75,0.67,0.62,0.32,0.4
human3_lib2.final_cell_0396,0.91,0.68,0.63,0.49,0.56,0.44
human3_lib2.final_cell_0397,0.8,0.71,0.58,0.55,0.54,0.36
human3_lib2.final_cell_0398,0.8,0.73,0.64,0.6,0.63,0.47
human3_lib2.final_cell_0399,0.87,0.76,0.68,0.54,0.59,0.47
human3_lib2.final_cell_0400,0.83,0.78,0.71,0.63,0.34,0.26
human3_lib2.final_cell_0401,0.8,0.74,0.64,0.66,NA,0.39
human3_lib2.final_cell_0402,0.87,0.79,0.74,0.6,0.62,0.48
human3_lib2.final_cell_0403,0.82,0.59,0.6,0.41,0.48,0.39
human3_lib2.final_cell_0404,0.85,0.78,0.72,0.67,NA,0.28
human3_lib2.final_cell_0405,0.83,0.78,0.7,0.6,0.34,0.25
human3_lib2.final_cell_0406,0.87,0.78,0.72,0.25,0.58,0.48
human3_lib2.final_cell_0407,0.83,0.79,0.7,0.64,NA,0.23
human3_lib2.final_cell_0408,0.82,0.81,0.68,0.68,0.63,0.24
human3_lib2.final_cell_0409,0.88,0.78,0.73,0.25,0.61,0.49
human3_lib2.final_cell_0410,0.72,0.7,0.54,0.69,0.4,0.44
human3_lib2.final_cell_0411,0.91,0.62,0.64,0.42,0.48,0.38
human3_lib2.final_cell_0412,0.79,0.74,0.61,0.63,0.34,0.4
human3_lib2.final_cell_0413,0.73,0.68,0.57,0.56,0.52,0.37
human3_lib2.final_cell_0414,0.84,0.77,0.7,0.56,0.62,0.49
human3_lib2.final_cell_0415,0.79,0.73,0.67,0.61,0.55,0.38
human3_lib2.final_cell_0416,0.85,0.75,0.68,0.22,0.56,0.53
human3_lib2.final_cell_0417,0.86,0.75,0.71,NA,0.55,0.44
human3_lib2.final_cell_0418,0.76,0.74,0.58,0.64,NA,NA
human3_lib2.final_cell_0419,0.82,0.72,0.61,0.51,0.51,0.4
human3_lib2.final_cell_0420,0.76,0.73,0.61,0.64,0.36,0.4
human3_lib2.final_cell_0421,0.9,0.64,0.64,0.4,0.44,0.35
human3_lib2.final_cell_0422,0.78,0.68,0.55,0.65,NA,0.4
human3_lib2.final_cell_0423,0.82,0.76,0.63,0.63,NA,0.39
human3_lib2.final_cell_0424,0.81,0.7,0.61,0.57,0.54,0.34
human3_lib2.final_cell_0425,0.75,0.7,0.56,0.61,0.59,0.31
human3_lib2.final_cell_0426,0.91,0.63,0.6,0.44,0.47,0.33
human3_lib2.final_cell_0427,0.73,0.72,0.58,0.64,0.34,0.44
human3_lib2.final_cell_0428,0.72,0.69,0.58,0.57,0.55,NA
human3_lib2.final_cell_0429,0.87,0.78,0.76,0.54,0.59,0.45
human3_lib2.final_cell_0430,0.77,0.78,0.66,0.65,0.59,0.26
human3_lib2.final_cell_0431,0.78,0.7,0.59,0.57,0.55,0.35
human3_lib2.final_cell_0432,0.56,NA,0.46,0.5,0.27,0.18
human3_lib2.final_cell_0433,0.64,0.7,0.49,0.6,0.58,0.43
human3_lib2.final_cell_0434,0.76,0.7,0.6,0.51,NA,0.4
human3_lib2.final_cell_0435,0.79,0.73,0.59,0.63,0.37,0.26
human3_lib2.final_cell_0436,0.84,0.77,0.7,0.53,0.58,0.44
human3_lib2.final_cell_0437,0.71,0.71,0.61,0.58,0.3,0.44
human3_lib2.final_cell_0438,0.8,0.73,0.59,0.59,0.38,0.36
human3_lib2.final_cell_0439,0.81,0.76,0.63,0.59,0.56,0.24
human3_lib2.final_cell_0440,0.81,0.72,0.65,0.59,0.56,0.43
human3_lib2.final_cell_0441,0.77,0.78,0.67,0.22,0.67,0.54
human3_lib2.final_cell_0442,0.78,0.72,0.59,0.64,0.57,0.44
human3_lib2.final_cell_0443,0.73,0.7,0.55,0.55,0.52,0.36
human3_lib2.final_cell_0444,0.81,0.74,0.66,0.62,0.59,0.36
human3_lib2.final_cell_0445,0.91,0.63,0.63,0.45,NA,0.33
human3_lib2.final_cell_0446,0.82,0.77,0.65,0.63,0.59,0.22
human3_lib2.final_cell_0447,0.82,0.78,0.71,0.64,0.34,0.28
human3_lib2.final_cell_0448,0.77,0.68,0.55,0.55,0.52,0.33
human3_lib2.final_cell_0449,0.61,0.65,0.26,0.7,0.65,0.32
human3_lib2.final_cell_0450,0.8,0.75,0.62,0.64,0.35,0.26
human3_lib2.final_cell_0451,0.77,0.69,0.57,0.6,NA,NA
human3_lib2.final_cell_0452,0.8,0.75,0.67,0.63,0.26,0.21
human3_lib2.final_cell_0453,0.89,0.58,0.58,0.13,0.4,0.32
human3_lib2.final_cell_0454,0.81,0.74,0.62,0.54,0.57,0.39
human3_lib2.final_cell_0455,0.84,0.78,0.7,0.6,0.31,0.4
human3_lib2.final_cell_0456,0.86,0.78,0.75,0.62,0.57,0.41
human3_lib2.final_cell_0457,0.86,0.76,0.69,0.7,NA,0.41
human3_lib2.final_cell_0458,0.86,0.78,0.72,0.58,0.65,0.5
human3_lib2.final_cell_0459,0.84,0.77,0.68,0.26,0.57,0.44
human3_lib2.final_cell_0460,0.8,0.73,0.64,0.55,0.58,0.42
human3_lib2.final_cell_0461,0.69,0.74,0.58,0.61,0.65,0.53
human3_lib2.final_cell_0462,0.77,0.7,0.63,0.55,0.59,0.52
human3_lib2.final_cell_0463,0.8,0.75,0.64,0.65,0.32,0.22
human3_lib2.final_cell_0464,0.83,0.74,0.63,0.61,0.61,NA
human3_lib2.final_cell_0465,0.69,0.71,0.54,0.57,NA,0.19
human3_lib2.final_cell_0466,0.86,0.74,0.74,0.52,0.38,0.44
human3_lib2.final_cell_0467,0.85,0.77,0.68,0.65,0.37,0.43
human3_lib2.final_cell_0468,0.81,0.71,0.64,0.58,0.55,0.41
human3_lib2.final_cell_0469,0.9,0.62,0.62,0.41,0.44,0.35
human3_lib2.final_cell_0470,0.83,0.76,0.67,0.64,0.61,0.3
human3_lib2.final_cell_0471,0.8,0.74,0.6,0.62,0.36,0.45
human3_lib2.final_cell_0472,0.78,0.7,0.66,0.46,0.56,0.4
human3_lib2.final_cell_0473,0.9,0.64,0.63,0.18,0.46,0.36
human3_lib2.final_cell_0474,0.91,0.66,0.67,0.43,0.52,0.38
human3_lib2.final_cell_0475,0.77,0.74,0.65,0.52,0.51,0.35
human3_lib2.final_cell_0476,0.74,0.66,0.64,0.36,0.24,0.28
human3_lib2.final_cell_0477,0.92,0.65,0.63,0.37,0.31,0.38
human3_lib2.final_cell_0478,0.81,0.72,0.63,0.64,0.35,0.41
human3_lib2.final_cell_0479,0.77,0.75,0.68,0.62,NA,0.41
human3_lib2.final_cell_0480,0.78,0.74,0.63,0.6,0.56,0.41
human3_lib2.final_cell_0481,0.87,0.67,0.68,0.42,NA,0.38
human3_lib2.final_cell_0482,0.83,0.75,0.67,0.57,0.32,0.27
human3_lib2.final_cell_0483,0.75,0.69,0.61,0.59,0.34,0.26
human3_lib2.final_cell_0484,0.73,0.68,0.55,0.56,0.52,0.19
human3_lib2.final_cell_0485,0.74,NA,0.64,0.64,0.59,0.23
human3_lib2.final_cell_0486,0.9,0.66,0.67,0.45,0.52,0.35
human3_lib2.final_cell_0487,0.79,0.75,0.61,0.66,0.62,0.4
human3_lib2.final_cell_0488,0.84,0.75,0.69,0.59,0.57,0.29
human3_lib2.final_cell_0489,0.84,0.77,0.68,0.65,0.61,0.34
human3_lib2.final_cell_0490,0.74,0.71,0.57,0.59,0.34,0.35
human3_lib2.final_cell_0491,0.86,0.65,0.65,0.44,0.46,0.36
human3_lib2.final_cell_0492,0.69,0.73,0.52,0.59,0.64,0.29
human3_lib2.final_cell_0493,0.85,0.75,0.69,0.62,0.57,0.26
human3_lib2.final_cell_0494,0.61,0.72,0.6,0.5,0.56,0.46
human3_lib2.final_cell_0495,0.81,0.73,0.67,0.65,0.35,0.38
human3_lib2.final_cell_0496,0.77,0.7,0.64,0.56,0.25,0.42
human3_lib2.final_cell_0497,0.88,0.69,0.7,0.43,0.52,0.42
human3_lib2.final_cell_0498,0.83,0.74,0.64,0.65,0.62,0.39
human3_lib2.final_cell_0499,0.85,0.73,0.63,0.56,0.34,0.33
human3_lib2.final_cell_0500,0.85,0.79,0.7,0.65,0.57,0.26
human3_lib2.final_cell_0501,0.79,0.72,0.62,0.61,NA,0.44
human3_lib2.final_cell_0502,0.85,0.75,0.7,0.24,0.58,0.44
human3_lib2.final_cell_0503,0.86,0.78,0.74,0.65,0.57,0.41
human3_lib2.final_cell_0504,0.85,0.79,0.73,0.22,0.62,NA
human3_lib2.final_cell_0505,0.79,0.75,0.63,0.66,NA,NA
human3_lib2.final_cell_0506,0.92,0.62,0.65,0.47,0.49,0.38
human3_lib2.final_cell_0507,0.76,0.71,0.49,0.59,0.56,NA
human3_lib2.final_cell_0508,0.78,0.73,0.63,0.61,0.58,0.26
human3_lib2.final_cell_0509,0.76,0.72,0.6,0.61,0.56,0.4
human3_lib2.final_cell_0510,0.75,NA,0.58,0.55,0.26,0.42
human3_lib2.final_cell_0511,0.82,0.75,0.62,0.6,0.58,0.37
human3_lib2.final_cell_0512,0.78,0.75,0.65,0.61,0.33,0.23
human3_lib2.final_cell_0513,0.85,0.79,0.68,0.71,NA,0.28
human3_lib2.final_cell_0514,0.84,0.78,0.73,0.64,0.6,0.24
human3_lib2.final_cell_0515,0.74,NA,0.53,0.61,0.35,0.4
human3_lib2.final_cell_0516,0.82,0.74,0.66,0.27,0.61,0.45
human3_lib2.final_cell_0517,0.8,0.78,0.71,0.63,0.61,0.42
human3_lib2.final_cell_0518,0.77,0.72,0.58,0.61,0.57,0.4
human3_lib2.final_cell_0519,0.87,0.79,0.74,0.62,0.54,0.35
human3_lib2.final_cell_0520,0.81,0.69,0.67,0.6,0.34,0.32
human3_lib2.final_cell_0521,0.76,0.72,0.61,0.61,0.4,0.4
human3_lib2.final_cell_0522,0.75,0.77,0.6,0.64,0.6,0.41
human3_lib2.final_cell_0523,0.7,0.7,0.56,0.63,NA,0.29
human3_lib2.final_cell_0524,0.84,0.75,0.67,0.58,0.61,0.4
human3_lib2.final_cell_0525,0.77,0.71,0.6,0.54,0.51,0.25
human3_lib2.final_cell_0526,0.8,0.71,0.65,0.21,0.61,0.44
human3_lib2.final_cell_0527,0.86,0.73,0.66,NA,0.63,0.51
human3_lib2.final_cell_0528,0.87,0.78,0.76,0.29,0.55,0.48
human3_lib2.final_cell_0529,0.78,0.77,0.62,0.63,NA,0.39
human3_lib2.final_cell_0530,0.76,0.78,0.69,0.6,0.6,0.47
human3_lib2.final_cell_0531,0.79,0.69,0.57,0.58,0.56,0.35
human3_lib2.final_cell_0532,0.84,0.75,0.65,0.58,0.56,0.36
human3_lib2.final_cell_0533,0.8,0.77,0.63,0.65,0.39,0.41
human3_lib2.final_cell_0534,0.77,0.69,0.59,0.53,0.29,0.18
human3_lib2.final_cell_0535,0.78,0.74,0.56,0.62,0.6,0.4
human3_lib2.final_cell_0536,0.79,0.76,0.64,0.64,NA,0.43
human3_lib2.final_cell_0537,0.79,0.74,0.68,0.61,0.59,0.38
human3_lib2.final_cell_0538,0.81,0.74,0.64,0.55,0.6,0.41
human3_lib2.final_cell_0539,0.68,0.67,0.54,0.58,0.33,0.4
human3_lib2.final_cell_0540,0.84,0.78,0.7,0.61,0.64,0.5
human3_lib2.final_cell_0541,0.84,0.8,0.72,0.68,0.37,0.21
human3_lib2.final_cell_0542,0.83,0.73,0.67,0.61,0.58,0.19
human3_lib2.final_cell_0543,0.8,0.71,0.61,0.57,0.55,0.36
human3_lib2.final_cell_0544,0.79,0.76,0.7,0.54,NA,0.51
human3_lib2.final_cell_0545,0.74,0.73,0.58,0.63,0.31,0.41
human3_lib2.final_cell_0546,0.81,0.72,0.58,0.64,0.36,0.22
human3_lib2.final_cell_0547,0.89,0.74,0.69,0.52,0.58,0.43
human3_lib2.final_cell_0548,0.85,0.77,0.72,0.59,0.54,0.37
human3_lib2.final_cell_0549,0.55,NA,0.43,0.49,NA,0.2
human3_lib2.final_cell_0550,0.72,0.68,0.5,0.55,0.54,0.22
human3_lib2.final_cell_0551,0.81,0.72,0.65,0.56,NA,NA
human3_lib2.final_cell_0552,0.79,0.72,0.65,0.6,NA,0.44
human3_lib2.final_cell_0553,0.84,0.76,0.65,0.61,0.59,NA
human3_lib2.final_cell_0554,0.73,0.67,0.53,0.55,0.54,0.43
human3_lib2.final_cell_0555,0.77,0.69,0.6,0.59,0.55,0.2
human3_lib2.final_cell_0556,0.79,0.71,0.57,0.46,0.48,0.3
human3_lib2.final_cell_0557,0.76,0.67,0.57,0.54,0.49,0.36
human3_lib2.final_cell_0558,0.8,0.73,0.62,0.64,0.61,0.27
human3_lib2.final_cell_0559,0.78,0.69,0.56,0.57,NA,0.43
human3_lib2.final_cell_0560,0.73,0.72,0.56,0.65,NA,0.24
human3_lib2.final_cell_0561,0.69,0.48,0.52,0.62,NA,0.24
human3_lib2.final_cell_0562,0.8,0.75,0.61,0.63,0.35,0.42
human3_lib2.final_cell_0563,0.81,0.75,0.65,0.56,NA,NA
human3_lib2.final_cell_0564,0.77,0.75,0.64,0.65,0.58,0.46
human3_lib2.final_cell_0565,0.83,0.79,0.69,0.67,0.6,0.42
human3_lib2.final_cell_0566,0.81,0.74,0.62,0.59,0.4,0.24
human3_lib2.final_cell_0567,0.7,0.72,0.59,0.69,0.4,0.39
human3_lib2.final_cell_0568,0.76,0.71,0.55,0.6,0.57,0.41
human3_lib2.final_cell_0569,0.91,0.66,0.66,0.44,0.5,0.36
human3_lib2.final_cell_0570,0.83,0.74,0.67,0.54,0.6,0.44
human3_lib2.final_cell_0571,0.82,0.76,0.67,0.64,0.34,0.26
human3_lib2.final_cell_0572,0.85,0.77,0.7,0.56,0.56,0.24
human3_lib2.final_cell_0573,0.78,0.7,0.58,0.61,0.6,0.36
human3_lib2.final_cell_0574,0.83,0.75,0.63,0.56,0.35,0.42
human3_lib2.final_cell_0575,0.79,0.72,0.61,0.63,0.6,0.44
human3_lib2.final_cell_0576,0.91,0.65,0.64,0.43,0.3,0.36
human3_lib2.final_cell_0577,0.79,0.73,0.64,0.61,0.57,0.25
human3_lib2.final_cell_0578,0.83,0.75,0.69,0.6,0.54,0.38
human3_lib2.final_cell_0579,0.84,0.79,0.71,0.64,0.61,0.48
human3_lib2.final_cell_0580,0.79,0.76,0.45,0.5,0.49,0.4
human3_lib2.final_cell_0581,0.79,0.73,0.58,0.6,0.59,NA
human3_lib2.final_cell_0582,0.82,0.74,0.61,0.6,NA,0.19
human3_lib2.final_cell_0583,0.82,0.74,0.64,0.64,0.58,0.44
human3_lib2.final_cell_0584,0.81,0.74,0.64,0.6,0.56,0.21
human3_lib2.final_cell_0585,0.81,0.69,0.66,0.54,0.38,0.42
human3_lib2.final_cell_0586,0.91,0.66,0.65,0.4,0.3,0.38
human3_lib2.final_cell_0587,0.74,0.69,0.55,0.56,0.51,0.18
human3_lib2.final_cell_0588,0.81,0.79,0.69,0.64,0.4,0.28
human3_lib2.final_cell_0589,0.69,0.65,0.52,0.43,0.42,0.3
human3_lib2.final_cell_0590,0.75,NA,0.59,0.54,0.53,0.4
human3_lib2.final_cell_0591,0.71,NA,0.54,0.65,0.63,0.38
human3_lib2.final_cell_0592,0.77,0.7,0.59,0.57,0.52,0.39
human3_lib2.final_cell_0593,0.72,0.74,0.64,0.2,0.57,0.52
human3_lib2.final_cell_0594,0.81,0.72,0.59,0.63,NA,0.2
human3_lib2.final_cell_0595,0.78,0.73,0.62,0.65,0.33,0.44
human3_lib2.final_cell_0596,0.79,0.77,0.7,0.63,0.58,0.35
human3_lib2.final_cell_0597,0.84,0.7,0.66,0.5,NA,0.16
human3_lib2.final_cell_0598,0.8,0.75,0.68,0.59,0.36,0.28
human3_lib2.final_cell_0599,0.85,0.75,0.68,0.52,0.57,0.47
human3_lib2.final_cell_0600,0.78,0.7,0.62,0.59,0.29,0.37
human3_lib2.final_cell_0601,0.8,0.73,0.67,0.6,0.3,NA
human3_lib2.final_cell_0602,0.8,0.72,0.64,0.61,0.56,0.39
human3_lib2.final_cell_0603,0.72,NA,0.57,0.52,NA,0.39
human3_lib2.final_cell_0604,0.8,0.75,0.66,0.63,0.35,0.42
human3_lib2.final_cell_0605,0.7,0.69,0.53,0.44,0.53,0.38
human3_lib2.final_cell_0606,0.79,0.71,0.63,0.5,0.53,0.4
human3_lib2.final_cell_0607,0.86,0.74,0.68,0.52,0.59,0.47
human3_lib2.final_cell_0608,0.88,0.74,0.7,0.48,0.55,0.42
human3_lib2.final_cell_0609,0.68,0.74,0.65,0.54,0.32,0.35
human3_lib2.final_cell_0610,0.76,0.66,0.56,0.55,NA,0.2
human3_lib2.final_cell_0611,0.8,0.69,0.64,0.52,0.55,0.42
human3_lib2.final_cell_0612,0.79,0.67,0.59,0.52,0.49,0.35
human3_lib2.final_cell_0613,0.8,0.73,0.6,0.65,NA,0.38
human3_lib2.final_cell_0614,0.88,0.69,0.65,0.46,0.53,0.43
human3_lib2.final_cell_0615,0.79,0.66,0.64,0.46,0.41,0.37
human3_lib2.final_cell_0616,0.89,0.66,0.63,0.49,0.51,0.35
human3_lib2.final_cell_0617,0.81,0.74,0.69,0.59,NA,0.4
human3_lib2.final_cell_0618,0.81,0.71,0.6,0.64,0.61,0.22
human3_lib2.final_cell_0619,0.82,0.74,0.66,0.65,0.35,0.21
human3_lib2.final_cell_0620,0.72,0.7,0.63,0.52,0.58,0.45
human3_lib2.final_cell_0621,0.76,0.7,0.59,0.51,0.56,0.42
human3_lib2.final_cell_0622,0.8,0.71,0.6,0.59,NA,0.24
human3_lib2.final_cell_0623,0.9,0.64,0.64,0.41,0.31,0.37
human3_lib2.final_cell_0624,0.65,0.64,0.46,0.43,0.5,0.44
human3_lib2.final_cell_0625,0.74,0.68,0.53,0.57,0.53,0.44
human3_lib2.final_cell_0626,0.92,0.63,0.63,0.36,0.44,0.36
human3_lib2.final_cell_0627,0.74,0.68,0.51,0.64,0.64,0.35
human3_lib2.final_cell_0628,0.82,0.76,0.68,0.67,0.6,0.3
human3_lib2.final_cell_0629,0.78,0.71,0.64,0.63,0.34,0.41
human3_lib2.final_cell_0630,0.84,0.75,0.72,0.55,0.6,0.34
human3_lib2.final_cell_0631,0.61,0.57,0.43,0.4,0.43,0.32
human3_lib2.final_cell_0632,0.74,0.64,0.61,0.49,0.54,0.42
human3_lib2.final_cell_0633,0.77,0.68,0.6,0.49,0.47,0.38
human3_lib2.final_cell_0634,0.79,0.75,0.63,0.64,0.6,0.22
human3_lib2.final_cell_0635,0.73,0.72,0.59,0.6,0.29,NA
human3_lib2.final_cell_0636,0.77,0.65,0.64,0.44,0.47,0.39
human3_lib2.final_cell_0637,0.73,0.66,0.61,0.44,0.54,0.3
human3_lib2.final_cell_0638,0.91,0.66,0.63,0.23,0.53,0.35
human3_lib2.final_cell_0639,0.8,0.75,0.7,0.61,0.35,0.18
human3_lib2.final_cell_0640,0.67,0.64,0.56,0.55,NA,0.35
human3_lib2.final_cell_0641,0.81,0.75,0.65,0.6,NA,0.26
human3_lib2.final_cell_0642,0.84,0.64,0.63,0.4,0.43,0.23
human3_lib2.final_cell_0643,0.83,0.76,0.72,0.54,0.59,0.46
human3_lib2.final_cell_0644,0.81,0.71,0.57,0.61,0.58,0.38
human3_lib2.final_cell_0645,0.76,0.71,0.61,0.55,0.52,0.35
human3_lib2.final_cell_0646,0.84,0.69,0.68,0.51,0.54,0.35
human3_lib2.final_cell_0647,0.68,0.7,0.55,0.54,0.26,0.36
human3_lib2.final_cell_0648,0.76,0.63,0.54,0.49,0.5,0.4
human3_lib2.final_cell_0649,0.78,0.7,0.6,0.6,0.32,0.24
human3_lib2.final_cell_0650,0.77,0.7,0.6,0.14,0.52,0.44
human3_lib2.final_cell_0651,0.83,0.76,0.72,0.52,0.56,0.52
human3_lib2.final_cell_0652,0.9,0.72,0.68,0.52,0.56,0.42
human3_lib2.final_cell_0653,0.81,0.72,0.59,0.61,0.34,0.4
human3_lib2.final_cell_0654,0.79,0.72,0.57,0.61,0.59,0.43
human3_lib2.final_cell_0655,0.77,0.72,0.56,0.59,0.34,0.4
human3_lib2.final_cell_0656,0.77,0.71,0.56,0.65,0.37,0.44
human3_lib2.final_cell_0657,0.81,0.69,0.65,0.53,0.58,0.45
human3_lib2.final_cell_0658,0.82,0.72,0.67,0.53,NA,0.35
human3_lib2.final_cell_0659,0.83,0.77,0.73,0.25,0.59,0.42
human3_lib2.final_cell_0660,0.82,0.78,0.72,0.3,0.65,0.61
human3_lib2.final_cell_0661,0.76,0.7,0.56,0.59,NA,0.42
human3_lib2.final_cell_0662,0.8,0.71,0.61,0.57,0.56,0.29
human3_lib2.final_cell_0663,0.8,0.69,0.57,0.6,0.32,NA
human3_lib2.final_cell_0664,0.84,0.78,0.7,0.64,0.6,0.41
human3_lib2.final_cell_0665,0.72,0.61,0.49,0.51,0.32,0.41
human3_lib2.final_cell_0666,0.65,NA,0.25,0.47,0.52,0.39
human3_lib2.final_cell_0667,0.73,0.64,0.47,0.6,NA,0.18
human3_lib2.final_cell_0668,0.69,0.71,0.56,NA,0.6,0.41
human3_lib2.final_cell_0669,0.78,0.72,0.6,0.64,0.62,0.43
human3_lib2.final_cell_0670,0.79,0.73,0.73,0.46,0.5,0.43
human3_lib2.final_cell_0671,0.87,0.62,0.64,0.39,0.45,0.38
human3_lib2.final_cell_0672,0.73,0.69,0.62,0.53,0.28,0.23
human3_lib2.final_cell_0673,0.6,0.66,0.45,0.45,0.44,0.3
human3_lib2.final_cell_0674,0.89,0.59,0.63,0.41,0.44,0.38
human3_lib2.final_cell_0675,0.81,0.68,0.65,0.43,0.53,0.4
human3_lib2.final_cell_0676,0.83,0.72,0.63,0.52,0.53,0.15
human3_lib2.final_cell_0677,0.79,0.73,0.59,0.64,0.34,NA
human3_lib2.final_cell_0678,0.86,0.75,0.66,0.56,NA,0.2
human3_lib2.final_cell_0679,0.71,0.66,NA,0.49,0.48,0.34
human3_lib2.final_cell_0680,0.68,NA,0.48,0.65,NA,0.35
human3_lib2.final_cell_0681,0.76,0.71,0.6,0.21,0.55,0.39
human3_lib2.final_cell_0682,0.75,0.72,0.54,0.56,0.53,0.32
human3_lib2.final_cell_0683,0.81,0.75,0.66,0.62,0.55,0.22
human3_lib2.final_cell_0684,0.89,0.67,0.65,0.36,0.28,0.36
human3_lib2.final_cell_0685,0.82,0.69,0.63,0.42,0.52,0.45
human3_lib2.final_cell_0686,0.77,0.71,0.59,0.54,0.59,0.45
human3_lib2.final_cell_0687,0.79,0.69,0.59,0.54,0.5,0.37
human3_lib2.final_cell_0688,0.76,0.67,0.6,0.45,0.44,0.15
human3_lib2.final_cell_0689,0.81,0.69,0.66,0.45,NA,0.4
human3_lib2.final_cell_0690,0.85,0.74,0.67,0.3,0.55,0.34
human3_lib2.final_cell_0691,0.72,0.67,0.58,0.48,0.47,0.31
human3_lib2.final_cell_0692,0.8,0.73,0.65,0.65,NA,0.36
human3_lib2.final_cell_0693,0.83,0.72,0.68,0.53,0.57,0.52
human3_lib2.final_cell_0694,0.82,0.69,0.58,0.5,NA,0.27
human3_lib2.final_cell_0695,0.85,0.74,0.7,0.57,0.63,0.46
human3_lib2.final_cell_0696,0.79,0.72,0.61,0.63,0.6,0.42
human3_lib2.final_cell_0697,0.8,0.67,0.63,0.15,0.49,0.42
human3_lib2.final_cell_0698,0.79,0.7,0.62,0.45,0.53,0.43
human3_lib2.final_cell_0699,0.76,0.68,0.54,0.6,0.33,0.23
human3_lib2.final_cell_0700,0.74,0.73,0.57,0.61,0.32,0.42
