reference,mapping,threshold,n_features,n_nn,accuracy
baron-human,baron-human,0.5,100,5,39.2811296534018
baron-human,baron-human,0.5,100,5,38.3475318006769
baron-human,baron-human,0.5,100,5,38.1491422569728
baron-human,baron-human,0.5,100,5,38.9310304586299
baron-human,baron-human,0.5,100,5,39.6428988213327
baron-human,baron-human,0.5,100,5,38.382541720154
baron-human,baron-human,0.5,100,5,38.0557824717003
baron-human,baron-human,0.5,100,5,39.0944100828568
baron-human,baron-human,0.5,100,5,39.0827401096978
baron-human,baron-human,0.5,100,5,38.9893803244253
baron-human,baron-human,0.5,100,5,39.689578713969
baron-human,baron-human,0.5,100,5,39.4211693313105
baron-human,baron-human,0.5,100,5,38.55759131754
baron-human,baron-human,0.5,100,5,38.2658419885634
baron-human,baron-human,0.5,100,5,38.8960205391528
baron-human,baron-human,0.5,100,5,38.9893803244253
baron-human,baron-human,0.5,100,5,39.2811296534018
baron-human,baron-human,0.5,100,5,38.6976309954487
baron-human,baron-human,0.5,100,5,39.2694596802427
baron-human,baron-human,0.5,100,5,39.3511494923562
baron-human,baron-human,0.5,100,5,38.8143307270393
baron-human,baron-human,0.5,100,5,39.3628194655152
baron-human,baron-human,0.5,100,5,38.8026607538803
baron-human,baron-human,0.5,100,5,38.6742910491306
baron-human,baron-human,0.5,100,5,39.2111098144474
baron-human,baron-human,0.5,100,5,39.1760998949702
baron-human,baron-human,0.5,1000,10,77.0685027424437
baron-human,baron-human,0.5,1000,10,77.4302719103746
baron-human,baron-human,0.5,1000,10,77.9554207025324
baron-human,baron-human,0.5,1000,10,78.1421402730774
baron-human,baron-human,0.5,1000,10,77.0685027424437
baron-human,baron-human,0.5,1000,10,75.9015054265375
baron-human,baron-human,0.5,1000,10,76.1232349165597
baron-human,baron-human,0.5,1000,10,77.8620609172599
baron-human,baron-human,0.5,1000,10,76.6950636013537
baron-human,baron-human,0.5,1000,10,77.1151826350799
baron-human,baron-human,0.5,1000,10,77.1618625277162
baron-human,baron-human,0.5,1000,10,77.2318823666706
baron-human,baron-human,0.5,1000,10,75.7497957754697
baron-human,baron-human,0.5,1000,10,76.5200140039678
baron-human,baron-human,0.5,1000,10,77.3952619908974
baron-human,baron-human,0.5,1000,10,77.3952619908974
baron-human,baron-human,0.5,1000,10,76.2049247286731
baron-human,baron-human,0.5,1000,10,77.4302719103746
baron-human,baron-human,0.5,1000,10,76.8234333061034
baron-human,baron-human,0.5,1000,10,77.0101528766484
baron-human,baron-human,0.5,1000,10,77.1735325008753
baron-human,baron-human,0.5,1000,10,76.2399346481503
baron-human,baron-human,0.5,1000,10,77.0568327692846
baron-human,baron-human,0.5,1000,10,76.4616641381725
baron-human,baron-human,0.5,1000,10,76.5083440308087
baron-human,baron-human,0.5,1000,10,77.0918426887618
baron-human,baron-human,0.5,1000,10,78.5855992531217
baron-human,baron-human,0.5,1000,10,76.8000933597853
baron-human,baron-human,0.5,1000,10,77.0334928229665
baron-human,baron-human,0.5,1000,10,77.7103512661921
baron-human,baron-human,0.5,1000,10,77.7920410783055
baron-human,baron-human,0.5,1000,10,76.3799743260591
baron-human,baron-human,0.5,1000,10,77.2202123935115
baron-human,baron-human,0.5,1000,10,77.2902322324659
baron-human,baron-human,0.5,1000,10,76.2632745944684
baron-human,baron-human,0.5,1000,10,76.4733341113316
baron-human,baron-human,0.5,1000,10,76.3916442992181
baron-human,baron-human,0.5,1000,10,76.74174349399
baron-human,baron-human,0.5,1000,10,76.555023923445
baron-human,baron-human,0.5,1000,10,77.4186019372155
baron-human,baron-human,0.5,1000,10,77.2202123935115
baron-human,baron-human,0.5,1000,10,77.0801727156028
baron-human,baron-human,0.5,1000,10,76.8934531450578
baron-human,baron-human,0.5,1000,10,77.4536118566927
baron-human,baron-human,0.5,1000,10,76.6717236550356
baron-human,baron-human,0.5,1000,10,76.3566343797409
baron-human,baron-human,0.5,1000,10,78.2355000583499
baron-human,baron-human,0.5,1000,10,76.753413467149
baron-human,baron-human,0.5,1000,10,77.2785622593068
baron-human,baron-human,0.5,1000,10,76.3332944334228
baron-human,baron-human,0.5,1000,10,78.0604504609639
baron-human,baron-human,0.5,1000,10,77.7570311588283
baron-human,baron-human,0.5,1000,10,77.5236316956471
baron-human,baron-human,0.5,1000,10,76.6600536818765
baron-human,baron-human,0.5,1000,10,76.7884233866262
baron-human,baron-human,0.5,1000,10,76.6950636013537
baron-human,baron-human,0.5,1000,10,77.4302719103746
baron-human,baron-human,0.5,1000,10,76.1699148091959
baron-human,baron-human,0.5,1000,10,76.5433539502859
baron-human,baron-human,0.5,1000,10,76.4149842455362
baron-human,baron-human,0.5,1000,10,75.7731357217878
baron-human,baron-human,0.5,1000,10,77.7453611856693
baron-human,baron-human,0.5,1000,10,76.0182051581281
