reference,mapping,threshold,n_features,kappa,uns_rate,Method
segerstolpe,xin,0.6,1000-2000,0.992510723397571,0.938337801608579,scmap
segerstolpe,xin,0.6,ALL,0.720775318540643,12.8016085790885,scmap
segerstolpe,xin,0.6,200-500,0.971786092661764,0.201072386058981,scmap
segerstolpe,xin,0.6,2000-5000,0.989916943836001,1.80965147453083,scmap
segerstolpe,xin,0.6,0-100,0.884702119547004,0.938337801608579,scmap
segerstolpe,xin,0.6,500-1000,0.982725930769301,0.335120643431635,scmap
segerstolpe,xin,0.7,100-200,0.967799101838613,1.07238605898123,scmap
segerstolpe,xin,0.7,1000-2000,0.993277799434421,7.30563002680965,scmap
segerstolpe,xin,0.7,ALL,0.32572735357642,83.3780160857909,scmap
segerstolpe,xin,0.7,200-500,0.976490900848174,0.670241286863271,scmap
segerstolpe,xin,0.7,2000-5000,0.990544727033402,19.4369973190349,scmap
segerstolpe,xin,0.7,0-100,0.893329291624874,2.21179624664879,scmap
segerstolpe,xin,0.7,500-1000,0.986068813356149,2.27882037533512,scmap
segerstolpe,xin,0.8,100-200,0.974581439370294,6.63538873994638,scmap
segerstolpe,xin,0.8,1000-2000,0.992589080070451,63.3378016085791,scmap
segerstolpe,xin,0.8,ALL,0,100,scmap
segerstolpe,xin,0.8,200-500,0.983376255854349,9.18230563002681,scmap
segerstolpe,xin,0.8,2000-5000,1,94.1018766756032,scmap
segerstolpe,xin,0.8,0-100,0.908618035038076,5.96514745308311,scmap
segerstolpe,xin,0.8,500-1000,0.985618549633439,28.8203753351206,scmap
segerstolpe,xin,0.9,100-200,0.974538526253279,77.0107238605898,scmap
segerstolpe,xin,0.9,1000-2000,0,100,scmap
segerstolpe,xin,0.9,ALL,0,100,scmap
segerstolpe,xin,0.9,200-500,1,91.4879356568365,scmap
segerstolpe,xin,0.9,2000-5000,0,100,scmap
segerstolpe,xin,0.9,0-100,0.927571375351373,57.8418230563003,scmap
segerstolpe,xin,0.9,500-1000,1,99.597855227882,scmap
xin,muraro,0.5,ALL,0.496556945353245,0.987770460959548,scmap
xin,muraro,0.5,1000-2000,0.78313736889169,16.4158043273754,scmap
xin,muraro,0.5,100-200,0.667920929306477,13.4995296331138,scmap
xin,muraro,0.5,2000-5000,0.662785132338459,7.33772342427093,scmap
xin,muraro,0.5,200-500,0.80471285323171,18.1091251175917,scmap
xin,muraro,0.5,500-1000,0.892791484007828,23.8476011288805,scmap
xin,muraro,0.5,0-100,0.565154901843285,2.11665098777046,scmap
xin,muraro,0.6,ALL,0.616508188498068,25.1175917215428,scmap
xin,muraro,0.6,1000-2000,0.812603939169288,24.2238946378175,scmap
xin,muraro,0.6,100-200,0.678111116836448,15.098777046096,scmap
xin,muraro,0.6,2000-5000,0.824583257006778,46.3781749764817,scmap
xin,muraro,0.6,200-500,0.808772595744856,20.5079962370649,scmap
xin,muraro,0.6,500-1000,0.909472402104674,27.516462841016,scmap
xin,muraro,0.6,0-100,0.57060448644377,3.38664158043274,scmap
xin,muraro,0.7,ALL,0.631578947368421,99.3414863593603,scmap
xin,muraro,0.7,1000-2000,0.962454990626147,64.3932267168391,scmap
xin,muraro,0.7,100-200,0.698752927484248,25.964252116651,scmap
xin,muraro,0.7,2000-5000,0,100,scmap
xin,muraro,0.7,200-500,0.836089058625489,36.3593603010348,scmap
xin,muraro,0.7,500-1000,0.945535460859972,46.8485418626529,scmap
xin,muraro,0.7,0-100,0.592463767633667,15.2869238005644,scmap
xin,muraro,0.8,ALL,0,100,scmap
xin,muraro,0.8,1000-2000,0,100,scmap
xin,muraro,0.8,100-200,0.778515017097365,62.5117591721543,scmap
xin,muraro,0.8,2000-5000,0,100,scmap
xin,muraro,0.8,200-500,0.931026908292147,77.8457196613358,scmap
xin,muraro,0.8,500-1000,0.891405805350028,92.5211665098777,scmap
xin,muraro,0.8,0-100,0.624927817812158,54.7036688617121,scmap
xin,muraro,0.9,ALL,0,100,scmap
xin,muraro,0.9,1000-2000,0,100,scmap
xin,muraro,0.9,100-200,0.929292929292929,98.6829727187206,scmap
xin,muraro,0.9,2000-5000,0,100,scmap
xin,muraro,0.9,200-500,0,100,scmap
xin,muraro,0.9,500-1000,0,100,scmap
xin,muraro,0.9,0-100,0.743190661478599,97.9303857008467,scmap
muraro,xin,0.5,ALL,0.881564367424357,1.13941018766756,scmap
muraro,xin,0.5,100-200,0.992588278278419,0.0670241286863271,scmap
muraro,xin,0.5,1000-2000,0.992427865796114,1.13941018766756,scmap
muraro,xin,0.5,2000-5000,0.960467010185587,7.57372654155496,scmap
muraro,xin,0.5,200-500,0.993810951960211,0,scmap
muraro,xin,0.5,0-100,0.988891548879256,0.134048257372654,scmap
muraro,xin,0.5,500-1000,0.99254790720394,0.134048257372654,scmap
muraro,xin,0.6,ALL,0.892351025437902,18.029490616622,scmap
muraro,xin,0.6,100-200,0.993810898637566,0.201072386058981,scmap
muraro,xin,0.6,1000-2000,0.991784423266513,7.84182305630027,scmap
muraro,xin,0.6,2000-5000,0.962232229721048,44.8391420911528,scmap
muraro,xin,0.6,200-500,0.99501822008792,0.536193029490617,scmap
muraro,xin,0.6,0-100,0.988880213152067,0.201072386058981,scmap
muraro,xin,0.6,500-1000,0.993629417874432,2.07774798927614,scmap
muraro,xin,0.7,ALL,1,99.597855227882,scmap
muraro,xin,0.7,100-200,0.993753650052053,1.07238605898123,scmap
muraro,xin,0.7,1000-2000,1,70.1742627345844,scmap
muraro,xin,0.7,2000-5000,1,99.3297587131367,scmap
muraro,xin,0.7,200-500,0.994720861352756,5.02680965147453,scmap
muraro,xin,0.7,0-100,0.992556247947955,0.46916890080429,scmap
muraro,xin,0.7,500-1000,0.99285162699265,26.9436997319035,scmap
muraro,xin,0.8,ALL,0,100,scmap
muraro,xin,0.8,100-200,0.997070832593645,13.7399463806971,scmap
muraro,xin,0.8,1000-2000,0,100,scmap
muraro,xin,0.8,2000-5000,0,100,scmap
muraro,xin,0.8,200-500,1,67.426273458445,scmap
muraro,xin,0.8,0-100,0.994817420387216,3.61930294906166,scmap
muraro,xin,0.8,500-1000,1,98.8605898123324,scmap
muraro,xin,0.9,ALL,0,100,scmap
muraro,xin,0.9,100-200,1,99.1957104557641,scmap
muraro,xin,0.9,1000-2000,0,100,scmap
muraro,xin,0.9,2000-5000,0,100,scmap
muraro,xin,0.9,200-500,0,100,scmap
muraro,xin,0.9,0-100,1,71.6487935656836,scmap
muraro,xin,0.9,500-1000,0,100,scmap
muraro,baron-human,0.5,ALL,0.883096840981711,12.6035710117867,scmap
